entry_id	topic	meaning_ru	ru_definition	en	fr	de	ar	zh	ru	es
paragraph	greetings	абзац	понятие или предмет: абзац	paragraph|/ˈpæɹəˌɡɹæf/	paragraphe|/paʁagʁaf/	Absatz|/ˈapˌzat͡s/	فِقْرَة|fiqraa	段|duàn	абза́ц|abzats	párrafo|/ˈparafo/
repeat	greetings	повторять	действие: повторять	repeat|/ɹiˈpit/	répéter|/ʁepete/	wiederholen|/ˈviːdɐˌhoːlən/	كَرَّرَ|karara	重复|chóng fù	повторя́ть|povtoryat	repetir|/repeˈt̪iɾ/
report	greetings	репортаж	понятие или предмет: репортаж	report|/ɹiˈpɔɹt/	rapport|/ʁapɔʁ/	Bericht|/bəˈʁɪçt/	تَقْرِير|taqriyr	报告|bào gào	репорта́ж|reportazh	informe|/ĩɱˈfoɾme/
say	greetings	говорить	действие: говорить	say|/ˈseɪ/	dire|/diʁ/	sagen|/ˈzaːɡn̩/	قَالَ|qaala	說|shuō	говори́ть|govorit	decir|/d̪eˈsiɾ/
sentence	greetings	предложение	понятие или предмет: предложение	sentence|/ˈsɛntəns/	phrase|/fʁaz/	Satz|/zat͡s/	جُمْلَة|jumlaa	句子|jù zi	предложе́ние|predlozhenie	oración|/oɾaˈsjõn/
share	greetings	делить	действие: делить	share|/ˈʃɛɹ/	partager|/paʁtaʒe/	teilen|/ˈtaɪ̯lən/	شَارَكَ|shaaraka	共享|gòng xiǎng	дели́ть|delit	compartir|/kõmpaɾˈt̪iɾ/
spell	greetings	произносить по буквам	действие: произносить по буквам	spell|/ˈspɛɫ/	épeler|/eple/	buchstabieren|/ˌbuːxʃtaˈbiːʁən/	هَجَّى|hajaa	拼写|pīn xiě	произноси́ть по бу́квам|proiznosit po bukvam	deletrear|/d̪elet̪ɾeˈaɾ/
spelling	greetings	правописание	понятие или предмет: правописание	spelling|/ˈspɛɫɪŋ/	orthographe|/ɔʁtɔgʁaf/	Rechtschreibung|/ˈʁɛçtˌʃʁaɪ̯bʊŋ/	تَهْجِئَة|tahjiiaa	拼写法|pīn xiě fǎ	правописа́ние|pravopisanie	ortografía|/oɾt̪oɣ̞ɾaˈfia/
statement	greetings	заявление	понятие или предмет: заявление	statement|/ˈsteɪtmənt/	déclaration|/deklaʁasjɔ̃/	Aussage|/ˈaʊ̯sˌzaːɡə/	تَصْرِيح|tasriyh	声明|shēng míng	заявле́ние|zayavlenie	declaración|/d̪eklaɾaˈsjõn/
about	greetings	о	понятие или предмет: о	about|/əˈbaʊt/	au sujet de|/o syʒɛ də/	über|/ˈyːbɐ/	حَوْلَ|hawla	关于|guān yú	о|o	sobre|/ˈsoβɾe/
reason	greetings	причина	понятие или предмет: причина	reason|/ˈɹizən/	raison|/ʁɛzɔ̃/	Grund|/ɡʁʊnt/	سَبَب|sabab	理由|lǐ yóu	причи́на|prichina	razón|/raˈsõn/
text	greetings	текст	понятие или предмет: текст	text|/ˈtɛkst/	texte|/tekst/	Text|/tɛkst/	نَصّ|nas	课文|kè wén	текст|tekst	texto|/ˈt̪ekst̪o/
thank	greetings	благодарить	действие: благодарить	thank|/ˈθæŋk/	remercier|/ʁəmɛʁsje/	danken|/ˈdaŋkn̩/	شَكَرَ|shakara	道谢|dào xiè	благодари́ть|blagodarit	agradecer|/aɣɾaðeθeɾ/
actor	people	актёр	понятие или предмет: актёр	actor|/ˈæktɝ/	acteur|/aktœʁ/	Schauspieler|/ˈʃaʊ̯ˌʃpiːlɐ/	مُمَثِّل|mumathil	演员|yǎn yuán	актёр|akter	actor|/aktoɾ/
actress	people	актриса	понятие или предмет: актриса	actress|/ˈæktɹəs/	actrice|/aktʁis/	Schauspielerin|/ˈʃaʊ̯ˌʃpiːləʁɪn/	مُمَثِّلَة|mumathilaa	女演员|nǚ yǎn yuán	актри́са|aktrisa	actriz|/aktɾiθ/
adult	people	взрослый	понятие или предмет: взрослый	adult|/ˈædəɫt/	adulte|/adylt/	Erwachsener|/ɛɐ̯ˈvaksənɐ/	بَالِغ|baaligh	成人|chéng rén	взро́слый|vzroslyi	adulto|/aðulto/
artist	people	художник	понятие или предмет: художник	artist|/ˈɑɹtəst/	artiste|/aʁtist/	Künstler|/ˈkʏnstlɐ/	فَنَّان|fanaan	艺术家|yì shù jiā	худо́жник|khudozhnik	artista|/aɾtista/
aunt	people	тётя	понятие или предмет: тётя	aunt|/ˈænt/	tante|/tɑ̃t/	Tante|/ˈtantə/	عَمَّة|aamaa	姑|gū	тётя|tetya	tía|/ˈt̪ia/
boyfriend	people	парень	понятие или предмет: парень	boyfriend|/ˈbɔɪˌfɹɛnd/	petit ami|/pəti ami/	fester Freund|/ˈfɛstɐ fʁɔɪ̯nt/	حَبِيب|habiyb	男朋友|nán péng yǒu	па́рень|paren	novio|/ˈnoβ̞jo/
cousin	people	родственник	понятие или предмет: родственник	cousin|/ˈkəzən/	cousin|/kuzɛ̃/	entfernter Verwandter|/ɛntˈfɛʁntɐ fɛɐ̯ˈvantɐ/	اِبْن عَمّ|aibn aam	堂兄|táng xiōng	ро́дственник|rodstvennik	primo|/ˈpɾimo/
customer	people	клиент	понятие или предмет: клиент	customer|/ˈkəstəmɝ/	chaland|/ʃalɑ̃/	Stammkunde|/ˈʃtamˌkʊndə/	زَبُون|zabuwn	顾客|gù kè	клие́нт|klient	cliente|/ˈkljẽn̪t̪e/
dad	people	папа	понятие или предмет: папа	dad|/ˈdæd/	papa|/papa/	Papa|/ˈpapa/	بَابَا|baabaa	爸|bà	па́па|papa	papá|/paˈpa/
dancer	people	танцор	понятие или предмет: танцор	dancer|/ˈdænsɝ/	danseur|/dɑ̃sœʁ/	Tänzer|/ˈtɛnt͡sɐ/	رَاقِص|raaqis	舞蹈家|wǔ dǎo jiā	танцо́р|tantsor	bailarín|/bailaˈɾin/
driver	people	водитель	понятие или предмет: водитель	driver|/ˈdɹaɪvɝ/	conducteur|/kɔ̃dyktœʁ/	Fahrer|/ˈfaːʁɐ/	سَائِق|saaiiq	司机|sī jī	води́тель|voditel	conductor|/kõn̪d̪ukˈt̪oɾ/
farmer	people	крестьянин	понятие или предмет: крестьянин	farmer|/ˈfɑɹmɝ/	agriculteur|/agʁikyltœʁ/	Landwirt|/ˈlantˌvɪʁt/	فَلَّاح|falaah	农夫|nóng fū	крестья́нин|krestyanin	granjero|/gɾãŋˈxeɾo/
girlfriend	people	девушка	понятие или предмет: девушка	girlfriend|/ˈɡɝɫˌfɹɛnd/	petite amie|/\pə.ti.t‿a.mi\/	Freundin|/ˈfʁɔɪ̯ndɪn/	حَبِيبَة|habiybaa	女朋友|nǚ péng yǒu	де́вушка|devushka	novia|/ˈnoβ̞ja/
grandfather	people	дедушка	понятие или предмет: дедушка	grandfather|/ˈɡɹænˌfɑðɝ/	grand-père|/gʁɑ̃pɛʁ/	Großvater|/ˈɡʁoːsˌfaːtɐ/	جَدّ|jad	爷爷|yé yé	де́душка|dedushka	abuelo|/aβwelo/
grandmother	people	бабушка	понятие или предмет: бабушка	grandmother|/ˈɡɹændˌməðɝ/	grand-mère|/gʁɑ̃mɛʁ/	Großmutter|/ˈɡʁoːsˌmʊtɐ/	جَدَّة|jadaa	奶奶|nǎi nǎi	ба́бушка|babushka	abuela|/aβwela/
animal	people	животное	понятие или предмет: животное	animal|/ˈænəməɫ/	animal|/animal/	Tier|/tiːɐ̯/	حَيَوَان|hayawaan	动物|dòng wù	живо́тное|zhivotnoe	animal|/animal/
group	people	группа	понятие или предмет: группа	group|/ˈɡɹup/	groupe|/gʁup/	Gruppe|/ˈɡʁʊpə/	مَجْمُوعَة|majmuwaaa	集团|jí tuán	гру́ппа|gruppa	grupo|/ˈgɾupo/
member	people	член	понятие или предмет: член	member|/ˈmɛmbɝ/	membre|/mɑ̃bʁ/	Mitglied|/ˈmɪtˌɡliːt/	عُضْو|audw	会员|huì yuán	член|chlen	miembro|/ˈmjẽmbɾo/
model	people	модель	понятие или предмет: модель	model|/ˈmɑdəɫ/	mannequin|/mankɛ̃/	Model|/ˈmoːdl̩/	عَارِضُ أَزْيَاءٍ|aaaridu aazyaain	模特儿|mó tè ér	моде́ль|model	modelo|/moˈð̞elo/
nurse	people	медсестра	понятие или предмет: медсестра	nurse|/ˈnɝs/	infirmière|/ɛ̃fiʁmjɛʁ/	Krankenschwester|/ˈkʁaŋkn̩ˌʃvɛstɐ/	مُمَرِّض|mumarid	护士|hù shì	медсестра́|medsestra	enfermera|/ẽɱfeɾˈmeɾa/
horse	people	лошадь	понятие или предмет: лошадь	horse|/ˈhɔɹs/	cheval|/ʃval/	Pferd|/p͡feːɐ̯t/	حِصَان|hisaan	马|mǎ	ло́шадь|loshad	caballo|/kaˈβ̞aʝo/
partner	people	партнёр	понятие или предмет: партнёр	partner|/ˈpɑɹtnɝ/	partenaire|/paʁtənɛʁ/	Partner|/ˈpaʁtnɐ/	شَرِيك|shariyk	伙伴|huǒ bàn	партнёр|partner	socio|/ˈsosjo/
player	people	игрок	понятие или предмет: игрок	player|/ˈpɫeɪɝ/	joueur|/ʒwœʁ/	Spieler|/ˈʃpiːlɐ/	لَاعِب|laaaib	运动员|yùn dòng yuán	игро́к|igrok	jugador|/xuɣ̞aˈð̞oɾ/
police	people	полиция	понятие или предмет: полиция	police|/pəˈɫis/	police|/pɔlis/	Polizei|/ˌpoliˈt͡saɪ̯/	شُرْطَة|shurtaa	警察|jǐng chá	поли́ция|politsiya	policía|/poliˈsia/
reader	people	читатель	понятие или предмет: читатель	reader|/ˈɹidɝ/	lecteur|/lɛktœʁ/	Leser|/ˈleːzɐ/	قَارِئ|qaarii	读者|dú zhě	чита́тель|chitatel	lector|/lekˈt̪oɾ/
scientist	people	учёный	понятие или предмет: учёный	scientist|/ˈsaɪəntɪst/	scientifique|/sjɑ̃tifik/	Wissenschaftler|/ˈvɪsn̩ˌʃaftlɐ/	عَالِم|aaalim	科学家|kē xué jiā	учёный|uchenyi	científico|/sjẽn̪ˈt̪ifiko/
singer	people	певец	понятие или предмет: певец	singer|/ˈsɪŋɝ/	chanteur|/ʃɑ̃tœʁ/	Sänger|/ˈzɛŋɐ/	مُطْرِب|mutrib	歌手|gē shǒu	певе́ц|pevets	cantante|/kãn̪ˈt̪ãn̪t̪e/
team	people	команда	понятие или предмет: команда	team|/ˈtim/	équipe|/ekip/	Mannschaft|/ˈmanʃaft/	فَرِيق|fariyq	团队|tuán duì	кома́нда|komanda	equipo|/eˈkipo/
teenager	people	подросток	понятие или предмет: подросток	teenager|/ˈtiˌneɪdʒɝ/	adolescent|/adɔlesɑ̃/	Jugendlicher|/ˈjuːɡəntlɪçɐ/	مُرَاهِق|muraahiq	少年|shào nián	подро́сток|podrostok	adolescente|/aðolesθente/
tourist	people	турист	понятие или предмет: турист	tourist|/ˈtʊɹəst/	touriste|/tuʁist/	Tourist|/tuˈʁɪst/	سَائِح|saaiih	旅游者|lǚ yóu zhě	тури́ст|turist	turista|/t̪uˈɾist̪a/
uncle	people	дядя	понятие или предмет: дядя	uncle|/ˈəŋkəɫ/	oncle|/ɔ̃kl/	Onkel|/ˈɔŋkl̩/	عَمّ|aam	伯父|bó fù	дя́дя|dyadya	tío|/ˈt̪io/
visitor	people	посетитель	понятие или предмет: посетитель	visitor|/ˈvɪzɪtɝ/	visiteur|/vizitœʁ/	Besucher|/bəˈzuːxɐ/	زَائِر|zaaiir	访客|fǎng kè	посети́тель|posetitel	visitante|/bisiˈtante/
waiter	people	официант	понятие или предмет: официант	waiter|/ˈweɪtɝ/	serveur|/sɛʁvœʁ/	Kellner|/ˈkɛlnɐ/	نَادِل|naadil	服务员|fú wù yuán	официа́нт|ofitsiant	camarero|/kamaˈɾeɾo/
wife	people	жена	понятие или предмет: жена	wife|/ˈwaɪf/	épouse|/epuz/	Ehefrau|/ˈeːəˌfʁaʊ̯/	زَوْجَة|zawjaa	妻子|qī zǐ	жена́|zhena	esposa|/esˈposa/
worker	people	работник	понятие или предмет: работник	worker|/ˈwɝkɝ/	travailleur|/tʁavajœʁ/	Arbeiter|/ˈaʁbaɪ̯tɐ/	عَامِل|aaamil	工人|gōng rén	рабо́тник|rabotnik	trabajador|/t̪ɾaβ̞axaˈð̞oɾ/
writer	people	писатель	понятие или предмет: писатель	writer|/ˈɹaɪtɝ/	écrivain|/ekʁivɛ̃/	Schriftsteller|/ˈʃʁɪftˌʃtɛlɐ/	كَاتِب|kaatib	作家|zuò jiā	писа́тель|pisatel	escritor|/eskɾiˈt̪oɾ/
career	people	карьера	понятие или предмет: карьера	career|/kɝˈɪɹ/	carrière|/kaʁjɛʁ/	Karriere|/kaˈʁi̯eːʁə/	مِهْنَة|mihnaa	职业|zhí yè	карье́ра|karera	carrera|/kaˈreɾa/
dear	people	дорогой	понятие или предмет: дорогой	dear|/ˈdɪɹ/	cher|/ʃɛʁ/	lieb|/liːp/	عَزِيز|aaziyz	亲爱的|qīn ài de	дорого́й|dorogoi	querido|/keˈɾið̞o/
personal	people	личный	понятие или предмет: личный	personal|/ˈpɝsɪnəɫ/	personnel|/pɛʁsɔnɛl/	persönlich|/pɛʁˈzøːnlɪç/	شَخْصِيّ|shakhsiy	私人的|sī rén de	ли́чный|lichnyi	personal|/peɾsoˈnal/
class	people	класс	понятие или предмет: класс	class|/ˈkɫæs/	classe|/klas/	Klasse|/ˈklasə/	صَفّ|saf	班级|bān jí	класс|klass	clase|/ˈklase/
bar	food	бар	понятие или предмет: бар	bar|/ˈbɑɹ/	bar|/baʁ/	Bar|/baːɐ̯/	بَار|baar	酒吧|jiǔ bā	бар|bar	bar|/baɾ/
breakfast	food	завтрак	понятие или предмет: завтрак	breakfast|/ˈbɹɛkfəst/	petit déjeuner|/ptideʒœne/	Frühstück|/ˈfʁyːˌʃtʏk/	إِفْطَار|iiftaar	早饭|zǎo fàn	за́втрак|zavtrak	desayuno|/d̪esaˈʝuno/
cake	food	торт	понятие или предмет: торт	cake|/ˈkeɪk/	gâteau|/gato/	Kuchen|/ˈkuːxn̩/	كَعْكَة|kaakaa	蛋糕|dàn gāo	торт|tort	pastel|/pasˈt̪el/
cheap	food	дешёвый	понятие или предмет: дешёвый	cheap|/ˈtʃip/	bon marché|/\bɔ̃ maʁ.ʃe\/	billig|/ˈbɪlɪk/	رَخِيص|rakhiys	便宜|pián yi	дешёвый|deshevyi	barato|/baɾato/
chocolate	food	шоколад	понятие или предмет: шоколад	chocolate|/ˈtʃɔkɫət/	chocolat|/ʃɔkɔla/	Schokolade|/ʃokoˈlaːdə/	شُوكُولَاتَة|shuwkuwlaataa	巧克力|qiǎo kè lì	шокола́д|shokolad	chocolate|/t͡ʃokoˈlat̪e/
cooking	food	готовка	понятие или предмет: готовка	cooking|/ˈkʊkɪŋ/	art culinaire|/\aʁ ky.li.nɛʁ\/	Kochen|/ˈkɔxn̩/	طَبْخ|tabkh	烹调|pēng tiáo	гото́вка|gotovka	gastronomía|/gast̪ɾonoˈmia/
cost	food	расходы	понятие или предмет: расходы	cost|/ˈkɑst/	coût|/ku/	Kosten|/ˈkoːstn̩/	تَكْلِفَة|taklifaa	费用|fèi yòng	расхо́ды|raskhody	costo|/ˈkost̪o/
cream	food	сливки	понятие или предмет: сливки	cream|/ˈkɹim/	crème|/kʁɛm/	Sahne|/ˈzaːnə/	قِشْطَة|qishtaa	奶油|nǎi yóu	сли́вки|slivki	nata|/ˈnat̪a/
delicious	food	вкусный	понятие или предмет: вкусный	delicious|/dɪˈɫɪʃəs/	délicieux|/delisjø/	köstlich|/ˈkœstlɪç/	لَذِيذ|ladhiydh	好吃|hǎo chī	вку́сный|vkusnyi	rico|/ˈriko/
diet	food	диета	понятие или предмет: диета	diet|/ˈdaɪət/	régime|/ʁeʒim/	Diät|/diˈɛːt/	حِمْيَة|himyaa	饮食|yǐn shí	дие́та|dieta	dieta|/ˈd̪jet̪a/
dinner	food	ужин	понятие или предмет: ужин	dinner|/ˈdɪnɝ/	dîner|/dine/	Abendessen|/ˈaːbm̩dˌʔɛsn̩/	عَشَاء|aashaa	晚饭|wǎn fàn	у́жин|uzhin	cena|/ˈsena/
dish	food	блюдо	понятие или предмет: блюдо	dish|/ˈdɪʃ/	plat|/pla/	Gericht|/ɡəˈʁɪçt/	طَبَق|tabaq	菜肴|cài yáo	блю́до|blyudo	plato|/ˈplato/
pound	food	фунт	понятие или предмет: фунт	pound|/ˈpaʊnd/	livre sterling|/livʁ stɛʁliŋ/	Pfund|/p͡fʊnt/	جُنَيْه|junayh	英镑|yīng bàng	фунт|funt	libra|/ˈliβ̞ɾa/
hungry	food	голодный	понятие или предмет: голодный	hungry|/ˈhəŋɡɹi/	affamé|/afame/	hungrig|/ˈhʊŋʁɪç/	جَائِع|jaaiia	饥饿|jī è	голо́дный|golodnyi	tener hambre|/t̪eˈneɾ ˈãmbɾe/
ice	food	лёд	понятие или предмет: лёд	ice|/ˈaɪs/	glace|/glas/	Eis|/aɪ̯s/	جَلِيد|jaliyd	冰|bīng	лёд|led	hielo|/ˈjelo/
ice-cream	food	мороженое	понятие или предмет: мороженое	ice cream|/ˈaɪs kɹim/	crème glacée|/kʁɛmglase/	Eiscreme|/ˈaɪ̯skʁɛːm/	بُوظَة|buwzaa	冰淇淋|bīng qí lín	моро́женое|morozhenoe	helado|/eˈlað̞o/
juice	food	сок	понятие или предмет: сок	juice|/ˈdʒus/	jus|/ʒy/	Saft|/zaft/	عَصِير|aasiyr	汁|zhī	сок|sok	zumo|/ˈsumo/
lunch	food	обед	понятие или предмет: обед	lunch|/ˈɫəntʃ/	déjeuner|/deʒœne/	Mittagessen|/ˈmɪtaːkˌʔɛsn̩/	غَدَاء|ghadaa	午饭|wǔ fàn	обе́д|obed	almuerzo|/almweɾθo/
farm	food	ферма	понятие или предмет: ферма	farm|/ˈfɑɹm/	ferme|/fɛʁm/	Bauernhof|/ˈbaʊ̯ɐnˌhoːf/	مَزْرَعَة|mazraaaa	农场|nóng chǎng	фе́рма|ferma	granja|/ˈgɾãŋxa/
menu	food	меню	понятие или предмет: меню	menu|/ˈmɛnju/	menu|/məny/	Menü|/meˈnyː/	قَائِمَة|qaaiimaa	菜单|cài dān	меню́|menyu	menú|/meˈnu/
orange	food	апельсин	понятие или предмет: апельсин	orange|/ˈɔɹəndʒ/	orange|/ɔʁɑ̃ʒ/	Orange|/oˈʁanʃ/	بُرْتُقَال|burtuqaal	橙子|chéng zi	апельси́н|apelsin	naranja|/naˈɾãŋxa/
order	food	заказ	понятие или предмет: заказ	order|/ˈɔɹdɝ/	commande|/kɔmɑ̃d/	Bestellung|/bəˈʃtɛlʊŋ/	طَلَب|talab	订单|dìng dān	зака́з|zakaz	pedido|/peˈðiðo/
pepper	food	перец	понятие или предмет: перец	pepper|/ˈpɛpɝ/	poivre|/pwavʁ/	Pfeffer|/ˈp͡fɛfɐ/	فِلْفِل|filfil	胡椒|hú jiāo	пе́рец|perets	pimienta|/piˈmjẽn̪t̪a/
potato	food	картофель	понятие или предмет: картофель	potato|/pəˈteɪˌtoʊ/	pomme de terre|/pɔmdətɛʁ/	Kartoffel|/kaʁˈtɔfl̩/	بَطَاطَا|bataataa	土豆|tǔ dòu	карто́фель|kartofel	patata|/paˈt̪at̪a/
prepare	food	готовить	действие: готовить	prepare|/pɹiˈpɛɹ/	préparer|/pʁepaʁe/	vorbereiten|/ˈfoːɐ̯bəˌʁaɪ̯tn̩/	جَهَّزَ|jahaza	准备|zhǔn bèi	гото́вить|gotovit	preparar|/pɾepaˈɾaɾ/
price	food	цена	понятие или предмет: цена	price|/ˈpɹaɪs/	prix|/pʁi/	Preis|/pʁaɪ̯s/	ثَمَن|thaman	价格|jià gé	цена́|tsena	precio|/ˈpɾesjo/
product	food	продукт	понятие или предмет: продукт	product|/ˈpɹɑdəkt/	produit|/pʁɔdɥi/	Produkt|/pʁoˈdʊkt/	مُنْتَج|muntaj	产品|chǎn pǐn	проду́кт|produkt	producto|/pɾoˈð̞ukt̪o/
restaurant	food	ресторан	понятие или предмет: ресторан	restaurant|/ˈɹɛsˌtɹɑnt/	restaurant|/ʁɛstɔʁɑ̃/	Restaurant|/ʁɛstoˈʁɑ̃ː/	مَطْعَم|mataam	餐厅|cān tīng	рестора́н|restoran	restaurante|/rest̪awˈɾãn̪t̪e/
salad	food	салат	понятие или предмет: салат	salad|/ˈsæɫəd/	salade|/salad/	Salat|/zaˈlaːt/	سَلَطَة|salataa	色拉|sè lā	сала́т|salat	ensalada|/ẽnsaˈlað̞a/
sandwich	food	сандвич	понятие или предмет: сандвич	sandwich|/ˈsæmwɪtʃ/	sandwich|/sɑ̃dwitʃ/	belegtes Brot|/bəˈleːktəs bʁoːt/	سَانْدَوِيتْش|saandawiytsh	三明治|sān míng zhì	са́ндвич|sandvich	sándwich|/ˈsãn̪d̪wit͡ʃ/
soup	food	суп	понятие или предмет: суп	soup|/ˈsup/	potage|/pɔtaʒ/	Suppe|/ˈzʊpə/	شُورَبَة|shuwrabaa	汤|tāng	суп|sup	sopa|/ˈsopa/
sugar	food	сахар	понятие или предмет: сахар	sugar|/ˈʃʊɡɝ/	sucre|/sykʁ/	Zucker|/ˈt͡sʊkɐ/	سُكَّر|sukar	糖|táng	са́хар|sakhar	azúcar|/aˈθukaɾ/
supermarket	food	супермаркет	понятие или предмет: супермаркет	supermarket|/ˈsupɝˌmɑɹkɪt/	supermarché|/sypɛʁmaʁʃe/	Supermarkt|/ˈzuːpɐˌmaʁkt/	سُوبَرْمَارْكِت|suwbarmaarkit	超级市场|chāo jí shì chǎng	суперма́ркет|supermarket	supermercado|/supeɾmeɾˈkað̞o/
thirsty	food	жаждущий	понятие или предмет: жаждущий	thirsty|/ˈθɝsti/	avoir soif|/\a.vwaʁ swaf\/	durstig|/ˈdʊʁstɪk/	عَطْشَان|aatshaan	渴|kě	жа́ждущий|zhazhdushchii	tener sed|/t̪eˈneɾ ˈseð̞/
tomato	food	помидор	понятие или предмет: помидор	tomato|/təˈmɑˌtoʊ/	tomate|/tɔmat/	Tomate|/toˈmaːtə/	طَمَاطِم|tamaatim	西红柿|xī hóng shì	помидо́р|pomidor	tomate|/t̪oˈmat̪e/
vegetable	food	овощ	понятие или предмет: овощ	vegetable|/ˈvɛdʒtəbəɫ/	légume|/legym/	Gemüse|/ɡəˈmyːzə/	خُضَر|khudar	蔬菜|shū cài	о́вощ|ovoshch	verdura|/beɾˈð̞uɾa/
buy	food	покупать	действие: покупать	buy|/ˈbaɪ/	acheter|/aʃte/	kaufen|/ˈkaʊ̯fm̩/	اِشْتَرَى|aishtaraa	买|mǎi	покупа́ть|pokupat	comprar|/kõmˈpɾaɾ/
fill	food	заполнять	действие: заполнять	fill|/ˈfɪɫ/	remplir|/ʁɑ̃pliʁ/	füllen|/ˈfʏlən/	مَلَأَ|malaaa	装满|zhuāng mǎn	заполня́ть|zapolnyat	llenar|/ʝeˈnaɾ/
festival	food	фестиваль	понятие или предмет: фестиваль	festival|/ˈfɛstəvəɫ/	festival|/fɛstival/	Festival|/ˈfɛstival/	عِيد|aiyd	节庆|jié qìng	фестива́ль|festival	festival|/fest̪iˈβ̞al/
party	food	вечеринка	понятие или предмет: вечеринка	party|/ˈpɑɹti/	fête|/fɛt/	Party|/ˈpaːɐ̯ti/	حَفْلَة|haflaa	聚会|jù huì	вечери́нка|vecherinka	fiesta|/ˈfjest̪a/
apartment	home	квартира	понятие или предмет: квартира	apartment|/əˈpɑɹtmənt/	appartement|/apaʁtəmɑ̃/	Wohnung|/ˈvoːnʊŋ/	شَقَّة|shaqaa	公寓|gōng yù	кварти́ра|kvartira	apartamento|/apaɾtamento/
area	home	площадь	понятие или предмет: площадь	area|/ˈɛɹiə/	aire|/ɛʁ/	Flächeninhalt|/ˈflɛçn̩ˌʔɪnhalt/	مِسَاحَة|misaahaa	面积|miàn jī	пло́щадь|ploshchad	área|/ˈaɾea/
bath	home	ванна	понятие или предмет: ванна	bath|/ˈbæθ/	bain|/bɛ̃/	Badewanne|/ˈbaːdəˌvanə/	حَمَّام|hamaam	浴缸|yù gāng	ва́нна|vanna	bañera|/baɲeɾa/
bedroom	home	спальня	понятие или предмет: спальня	bedroom|/ˈbɛˌdɹum/	chambre à coucher|/\ʃɑ̃.bʁ‿a ku.ʃe\/	Schlafzimmer|/ˈʃlaːfˌt͡sɪmɐ/	غُرْفَة نَوْم|ghurfaa nawm	卧室|wò shì	спа́льня|spalnya	dormitorio|/d̪oɾmiˈt̪oɾjo/
building	home	здание	понятие или предмет: здание	building|/ˈbɪɫdɪŋ/	bâtiment|/batimɑ̃/	Gebäude|/ɡəˈbɔɪ̯də/	مَبْنًى|mabnana	建筑物|jiàn zhù wù	зда́ние|zdanie	edificio|/eð̞iˈfisjo/
card	home	карточка	понятие или предмет: карточка	card|/ˈkɑɹd/	carte|/kaʁt/	Karte|/ˈkaʁtə/	بِطَاقَة|bitaaqaa	卡片|kǎ piàn	ка́рточка|kartochka	tarjeta|/t̪aɾˈxet̪a/
clothes	home	одежда	понятие или предмет: одежда	clothes|/ˈkɫoʊðz/	vêtements|/vɛtmɑ̃/	Kleider|/ˈklaɪ̯dɐ/	مَلَابِس|malaabis	衣服|yī fú	оде́жда|odezhda	ropa|/ˈropa/
club	home	клуб	понятие или предмет: клуб	club|/ˈkɫəb/	club|/klœb/	Klub|/klʊp/	نَادٍ|naadin	俱乐部|jù lè bù	клуб|klub	club|/ˈkluβ̞/
coat	home	пальто	понятие или предмет: пальто	coat|/ˈkoʊt/	manteau|/mɑ̃to/	Mantel|/ˈmantl̩/	مِعْطَف|miataf	外衣|wài yī	пальто́|palto	abrigo|/aβɾiɣo/
desk	home	письменный стол	понятие или предмет: письменный стол	desk|/ˈdɛsk/	pupitre|/pypitʁ/	Schreibtisch|/ˈʃʁaɪ̯pˌtɪʃ/	مَكْتَب|maktab	书桌|shū zhuō	пи́сьменный стол|pismennyi stol	escritorio|/eskɾiˈt̪oɾjo/
dirty	home	грязный	понятие или предмет: грязный	dirty|/ˈdɝti/	sale|/sal/	schmutzig|/ˈʃmʊt͡sɪk/	قَذِر|qadhir	脏|zàng	гря́зный|gryaznyi	sucio|/ˈsusjo/
dress	home	платье	понятие или предмет: платье	dress|/ˈdɹɛs/	robe|/ʁɔb/	Kleid|/klaɪ̯t/	ثَوْب|thawb	连衣裙|lián yī qún	пла́тье|plate	vestido|/besˈt̪ið̞o/
floor	home	пол	понятие или предмет: пол	floor|/ˈfɫɔɹ/	sol|/sɔl/	Boden|/ˈboːdn̩/	أَرْضِيَّة|aardiyaa	地板|dì bǎn	пол|pol	suelo|/ˈswelo/
front	home	передняя часть	понятие или предмет: передняя часть	front|/ˈfɹənt/	devant|/dəvɑ̃/	Vorderseite|/ˈfɔʁdɐˌzaɪ̯tə/	أَمَام|aamaam	前面|qián miàn	пере́дняя часть|perednyaya chast	frente|/ˈfɾẽn̪t̪e/
here	home	здесь	понятие или предмет: здесь	here|/ˈhiɹ/	ici|/isi/	hier|/hiːɐ̯/	هُنَا|hunaa	这里|zhè lǐ	здесь|zdes	aquí|/aˈki/
jacket	home	куртка	понятие или предмет: куртка	jacket|/ˈdʒækət/	veste|/vɛst/	Jacke|/ˈjakə/	جَاكِيت|jaakiyt	夹克|jiá kè	ку́ртка|kurtka	chaqueta|/t͡ʃaˈket̪a/
jeans	home	джинсы	понятие или предмет: джинсы	jeans|/ˈdʒinz/	jeans|/dʒins/	Niethose|/ˈniːtˌhoːzə/	جِينْز|jiynz	牛仔裤|niú zǎi kù	джи́нсы|dzhinsy	vaqueros|/baˈkeɾos/
light	home	свет	понятие или предмет: свет	light|/ˈɫaɪt/	lumière|/lymjɛʁ/	Licht|/lɪçt/	ضَوْء|daw	光|guāng	свет|svet	luz|/ˈluθ/
